家賃（円）	徒歩（分）	専有面積（㎡）	築年数（年）	階数（階）	新築	2階以上	南向き	駐車場	オートロック	エアコン	バストイレ別	追い焚き	フローリング	ペット相談可
88500	10	20.7	3	8	0	1	0	1	1	1	1	0	1	1
86700	10	20.7	3	7	0	1	1	1	1	1	1	0	1	1
87300	10	20.7	3	2	0	1	1	1	1	1	1	0	1	1
88200	10	20.7	3	9	0	1	1	1	1	1	1	0	1	1
170000	10	41.4	3	11	0	1	1	1	1	1	1	1	1	1
83000	10	20.7	3	2	0	1	1	1	1	1	1	0	1	1
100000	13	25.21	2	3	0	1	1	0	1	1	1	1	1	0
170000	13	52.36	2	11	0	1	1	0	1	1	1	1	1	0
105000	13	25.63	2	11	0	1	1	0	1	1	1	1	1	0
83000	5	22.85	1	2	0	1	0	0	1	1	1	1	1	0
56000	10	12.5	0	1	1	0	0	0	1	1	0	0	1	0
65000	10	12.5	0	2	1	1	0	0	1	1	0	0	1	0
56000	10	12	0	1	1	0	0	0	1	1	0	0	1	0
63000	10	12	0	2	1	1	0	0	1	1	1	0	1	0
67000	10	12	0	2	1	1	0	0	1	1	0	0	1	0
87000	9	20.79	4	5	0	1	1	0	1	1	1	0	1	0
85000	9	21.88	4	3	0	1	1	0	1	1	1	0	1	0
64000	4	11.28	2	1	0	0	0	0	1	1	1	0	1	0
67000	4	12.73	2	2	0	1	0	0	1	1	1	0	1	0
140000	7	31.7	1	4	0	1	0	0	1	1	1	1	1	1
113000	7	25.1	0	2	1	1	0	0	1	1	1	0	1	1
117000	7	25.06	0	5	1	1	0	0	1	1	1	0	1	1
113000	7	25.1	0	2	1	1	0	0	1	1	1	0	1	1
110000	7	25.06	0	1	1	0	0	0	1	1	1	0	1	1
114000	7	25.1	0	3	1	1	0	0	1	1	1	0	1	1
87000	12	23	1	1	0	0	0	0	0	1	1	0	1	0
170000	13	52.36	2	11	0	1	1	0	1	1	1	1	1	0
105000	13	25.63	2	11	0	1	1	0	1	1	1	1	1	0
78000	15	21.18	6	4	0	1	0	0	0	1	1	0	1	0
85000	15	22.41	6	3	0	1	0	0	1	1	1	0	1	1
179000	17	58.17	6	5	0	1	0	0	1	1	1	1	1	1
78000	17	21.18	6	5	0	1	0	0	1	1	1	0	1	1
179000	17	58.17	6	5	0	1	0	0	1	1	1	0	1	1
78000	15	21.18	6	1	0	0	0	0	1	0	1	0	1	0
78000	14	21.18	6	4	0	1	0	0	1	1	1	0	1	0
103000	5	26.48	4	2	0	1	0	0	1	1	1	1	1	0
105000	5	27.15	4	2	0	1	1	0	1	0	1	1	1	0
98000	5	26.48	4	3	0	1	1	0	1	1	0	0	1	0
86000	7	25.4	6	3	0	1	1	0	1	0	1	1	1	0
76000	6	23.6	7	2	0	1	0	0	0	1	1	0	1	0
83000	17	21.25	5	4	0	1	1	0	1	1	1	0	1	0
76000	6	23.6	7	2	0	1	0	0	0	1	1	0	1	0
76000	6	23.6	8	2	0	1	0	0	0	1	1	0	1	0
63000	7	11	4	1	0	0	0	0	1	1	0	0	1	0
63000	7	11	4	1	0	0	0	0	0	0	0	0	1	0
63000	7	11	4	1	0	0	0	0	1	1	0	0	1	0
76000	6	23.6	8	2	0	1	0	0	0	1	1	1	1	0
90000	7	20.06	7	6	0	1	1	0	1	1	1	1	1	0
91000	9	20.06	7	6	0	1	1	0	1	1	1	0	1	0
92000	7	20.06	7	7	0	1	1	1	0	0	0	0	0	0
86000	7	20.06	7	2	0	1	1	0	1	1	1	0	1	0
87000	7	20.06	7	2	0	1	1	0	1	1	1	0	1	0
90000	7	20.06	7	6	0	1	1	0	1	1	1	0	1	0
92000	7	20.06	7	7	0	1	1	0	1	1	1	0	1	0
93000	19	25.03	9	6	0	1	1	0	1	1	1	0	1	0
94000	5	18.61	7	2	0	1	0	0	1	1	0	0	1	1
97000	5	23.78	7	3	0	1	0	0	1	1	0	0	1	1
94000	5	18.61	7	3	0	1	0	0	1	1	0	0	1	1
97000	5	23.78	7	3	0	1	0	0	1	1	0	0	1	1
95000	10	20.75	0	7	1	1	1	0	1	1	1	0	1	0
130000	10	30.84	0	2	1	1	1	0	1	1	1	1	1	0
94000	5	18.71	7	2	0	1	0	0	1	1	0	0	1	1
97000	5	23.78	7	3	0	1	0	0	1	1	0	0	1	1
95000	9	21.36	7	4	0	1	0	1	1	1	1	0	1	0
97000	9	24.17	7	5	0	1	0	1	1	1	1	0	1	0
99000	9	21.94	7	11	0	1	0	1	1	1	1	0	1	0
100000	9	21.94	7	13	0	1	0	1	1	1	1	0	1	0
103000	9	21.94	7	13	0	1	0	0	1	1	1	0	1	0
99000	8	22.17	7	2	0	1	0	0	1	1	1	0	1	0
101000	8	21.94	7	8	0	1	0	0	1	1	1	0	1	0
101000	8	21.94	7	6	0	1	0	0	1	1	1	0	1	0
103000	9	21.94	7	8	0	1	0	0	1	1	1	0	1	0
102000	8	22.17	7	10	0	1	0	0	1	1	1	0	1	0
105000	9	21.94	7	13	0	1	0	0	1	1	1	0	1	0
137000	6	32.95	7	13	0	1	1	1	1	1	1	0	1	0
100000	8	21.94	7	6	0	1	0	0	1	1	1	0	1	0
79000	7	18.04	12	11	0	1	1	0	1	1	1	0	1	0
75000	7	18.14	12	1	0	0	1	0	1	1	1	0	1	0
81000	7	18.14	12	9	0	1	1	0	1	1	1	0	1	0
85000	15	25.13	12	2	0	1	0	1	1	1	1	0	1	0
80000	15	25.13	12	2	0	1	0	0	1	1	1	0	1	0
83000	15	20.45	12	4	0	1	0	0	1	1	1	0	1	0
93000	7	22.5	7	2	0	1	0	0	1	1	1	0	1	1
104000	8	24.87	7	4	0	1	0	1	1	1	1	1	0	0
183000	8	47.17	7	12	0	1	1	1	1	1	1	1	0	0
183000	8	47.17	7	13	0	1	1	1	1	1	1	1	0	0
110000	8	27.6	7	3	0	1	0	1	1	1	1	1	0	0
117000	8	34.12	7	3	0	1	1	1	1	1	1	1	0	0
99000	8	24.27	7	2	0	1	0	0	1	0	1	0	1	0
159000	8	42.72	7	6	0	1	0	1	1	1	1	1	1	0
180000	8	48.24	7	7	0	1	1	1	1	1	1	1	1	0
114000	8	27.6	7	5	0	1	0	1	1	1	0	1	1	0
74000	2	20.43	12	4	0	1	0	0	1	1	1	0	1	0
91000	8	21.34	10	6	0	1	0	0	1	1	1	0	1	0
92500	8	20.58	10	11	0	1	0	0	1	1	1	0	1	0
88000	8	21.29	10	4	0	1	0	0	1	1	1	0	1	1
88000	8	20.58	10	5	0	1	0	0	1	1	1	0	1	1
88000	8	22.04	10	9	0	1	0	0	1	1	1	0	1	0
88000	8	20.58	10	8	0	1	0	0	1	1	1	0	0	0
93000	7	22.5	7	2	0	1	0	0	1	1	1	0	1	0
